strategy,source,fair_same_substrate,content,network,users,seed,key,U,Rq,Ro,Rb,decoded_completion,B_shared,B_unicast,stall_last,p99_delay_ms,p99_delay_in_contract,duration_s,metric_code
MD2G-Cast,FROZEN_LIVE_COMMAND153,True,redandblack,4g,100,152,c148dev_redandblack_4g_u100_MD2G_COMPONENT_s152,0.7682072394549289,0.8894999744185896,0.9896281994821378,0.08599863377839577,0.912,137693201,13275727851,0.0,,False,120,command148_canary_metrics.cell_metrics
Heuristic,FROZEN_LIVE_COMMAND153,True,redandblack,4g,100,152,c148dev_redandblack_4g_u100_HV3_COMPONENT_s152,0.49769633051828455,0.4279999862855097,0.9896238044603296,0.043397415787357715,0.7663551401869159,110352138,10635125136,0.0,,False,120,command148_canary_metrics.cell_metrics
Clustering,FROZEN_LIVE_COMMAND153,True,redandblack,4g,100,152,c148dev_redandblack_4g_u100_CLUSTERING_COMPONENT_s152,0.6368651052878268,0.6729999918461629,0.9895907520648155,0.09555051890716507,0.7971428571428572,126841402,12185453050,1.0272255396842958,,False,120,command148_canary_metrics.cell_metrics
MD2G-Cast,FROZEN_LIVE_COMMAND153,True,redandblack,4g,100,153,c148dev_redandblack_4g_u100_MD2G_COMPONENT_s153,0.7557486921621411,0.8689999692153074,0.9891715512682799,0.08629451456075576,0.872,140033991,12932045436,0.0,,False,120,command148_canary_metrics.cell_metrics
Heuristic,FROZEN_LIVE_COMMAND153,True,redandblack,4g,100,153,c148dev_redandblack_4g_u100_HV3_COMPONENT_s153,0.4879540937690333,0.41199998768712587,0.9894872025290792,0.04411799650341341,0.7393364928909952,110899840,10549032292,0.0,,False,120,command148_canary_metrics.cell_metrics
Clustering,FROZEN_LIVE_COMMAND153,True,redandblack,4g,100,153,c148dev_redandblack_4g_u100_CLUSTERING_COMPONENT_s153,0.6292901124297113,0.655499991913175,0.9898679744114772,0.07651250880708654,0.78,109960450,10852760787,0.0,,False,120,command148_canary_metrics.cell_metrics
MD2G-Cast,FROZEN_LIVE_COMMAND153,True,redandblack,wifi,20,151,c148dev_redandblack_wifi_u20_MD2G_COMPONENT_s151,0.5308480876214668,0.49999997997823714,0.95,0.04434600243650246,1.0,799199832,15983996640,0.0,,False,120,command148_canary_metrics.cell_metrics
Heuristic,FROZEN_LIVE_COMMAND153,True,redandblack,wifi,20,151,c148dev_redandblack_wifi_u20_HV3_COMPONENT_s151,0.6473581633224073,0.7024999912035136,0.9484507282490486,0.07503008974642009,0.95,809708761,15707472356,0.0,,False,120,command148_canary_metrics.cell_metrics
Clustering,FROZEN_LIVE_COMMAND153,True,redandblack,wifi,20,151,c148dev_redandblack_wifi_u20_CLUSTERING_COMPONENT_s151,0.6782258720440533,0.7587499207162908,0.9478989846003179,0.09332551023867096,0.9142857142857143,1117628657,21451187629,0.0,,False,120,command148_canary_metrics.cell_metrics
MD2G-Cast,FROZEN_LIVE_COMMAND153,True,redandblack,wifi,20,152,c148dev_redandblack_wifi_u20_MD2G_COMPONENT_s152,0.5246061460561223,0.48999998085424723,0.9490441743464757,0.04436590695363336,0.975,799995131,15699777616,0.0,,False,120,command148_canary_metrics.cell_metrics
Heuristic,FROZEN_LIVE_COMMAND153,True,redandblack,wifi,20,152,c148dev_redandblack_wifi_u20_HV3_COMPONENT_s152,0.603116492388299,0.6299999912542706,0.945200593742446,0.07455767199916533,0.9,823929814,15035378488,5.109287393093109,,False,120,command148_canary_metrics.cell_metrics
Clustering,FROZEN_LIVE_COMMAND153,True,redandblack,wifi,20,152,c148dev_redandblack_wifi_u20_CLUSTERING_COMPONENT_s152,0.6496794860056535,0.7124999068927199,0.9449803791524511,0.09377035278727437,0.9428571428571428,1214201108,22068511002,10.268571436405182,,False,120,command148_canary_metrics.cell_metrics
MD2G-Cast,FROZEN_LIVE_COMMAND153,True,redandblack,wifi,20,153,c148dev_redandblack_wifi_u20_MD2G_COMPONENT_s153,0.5308482754601783,0.49999997997823714,0.95,0.044344750178425804,1.0,799802207,15996044140,0.0,,False,120,command148_canary_metrics.cell_metrics
Heuristic,FROZEN_LIVE_COMMAND153,True,redandblack,wifi,20,153,c148dev_redandblack_wifi_u20_HV3_COMPONENT_s153,0.6212220124567682,0.6599999932227635,0.9458322000547218,0.0749068899371356,0.9333333333333333,815339636,15052109128,0.0,,False,120,command148_canary_metrics.cell_metrics
Clustering,FROZEN_LIVE_COMMAND153,True,redandblack,wifi,20,153,c148dev_redandblack_wifi_u20_CLUSTERING_COMPONENT_s153,0.6329872902705703,0.6862499207670478,0.9412085777904172,0.0937653775817508,0.8714285714285714,1225732884,20848838792,5.126710736751557,,False,120,command148_canary_metrics.cell_metrics
MD2G-Cast,FROZEN_LIVE_COMMAND153,True,redandblack,wifi,60,151,c148dev_redandblack_wifi_u60_MD2G_COMPONENT_s151,0.7398860425209809,0.8462499932312052,0.9822770300805879,0.08955473958592684,0.9033333333333333,285713050,16121059354,1.7211372216542562,,False,120,command148_canary_metrics.cell_metrics
Heuristic,FROZEN_LIVE_COMMAND153,True,redandblack,wifi,60,151,c148dev_redandblack_wifi_u60_HV3_COMPONENT_s151,0.5720751594656402,0.5549999861224891,0.9822602332100626,0.0432659367357922,0.7611111111111111,372657709,21006911388,1.7019982139269512,,False,120,command148_canary_metrics.cell_metrics
Clustering,FROZEN_LIVE_COMMAND153,True,redandblack,wifi,60,151,c148dev_redandblack_wifi_u60_CLUSTERING_COMPONENT_s151,0.6998574415334978,0.7808331814440568,0.9827002654704524,0.09545022467032914,0.9714285714285714,342030750,19770866970,0.0,,False,120,command148_canary_metrics.cell_metrics
MD2G-Cast,FROZEN_LIVE_COMMAND153,True,redandblack,wifi,60,152,c148dev_redandblack_wifi_u60_MD2G_COMPONENT_s152,0.7639974401548452,0.8908333108120041,0.9826995073248016,0.1078494877570508,0.91,317808639,18369918416,0.0,,False,120,command148_canary_metrics.cell_metrics
Heuristic,FROZEN_LIVE_COMMAND153,True,redandblack,wifi,60,152,c148dev_redandblack_wifi_u60_HV3_COMPONENT_s152,0.5831577011857183,0.573333318985666,0.9825305194224297,0.04316613374192471,0.7777777777777778,416196832,23824224776,1.702010409037272,,False,120,command148_canary_metrics.cell_metrics
Clustering,FROZEN_LIVE_COMMAND153,True,redandblack,wifi,60,152,c148dev_redandblack_wifi_u60_CLUSTERING_COMPONENT_s152,0.6752854822747151,0.7399998683752388,0.9821447935997425,0.09500424766909196,0.9380952380952381,408310690,22867878469,0.0,,False,120,command148_canary_metrics.cell_metrics
MD2G-Cast,FROZEN_LIVE_COMMAND153,True,redandblack,wifi,60,153,c148dev_redandblack_wifi_u60_MD2G_COMPONENT_s153,0.7539398469330779,0.8749999416961692,0.9825977099822829,0.11139697053462884,0.91,366602096,21066313435,1.7015664935112,,False,120,command148_canary_metrics.cell_metrics
Heuristic,FROZEN_LIVE_COMMAND153,True,redandblack,wifi,60,153,c148dev_redandblack_wifi_u60_HV3_COMPONENT_s153,0.5806241563235774,0.5691666536482469,0.982587837045126,0.04348530084434846,0.75,356873528,20495645999,0.0,,False,120,command148_canary_metrics.cell_metrics
