strategy,source,fair_same_substrate,content,network,users,seed,key,U,Rq,Ro,Rb,decoded_completion,B_shared,B_unicast,stall_last,p99_delay_ms,p99_delay_in_contract,duration_s,metric_code
MCG,LIVE_MININET_MOQ,True,redandblack,4g,60,151,c148mcg_redandblack_4g_u60_MCG_COMPONENT_s151,0.5433617591082528,0.5220833150735026,0.9818627766423664,0.1023594939762687,0.9841269841269841,193638869,10676323778,3.406277612845103,,False,120,command148_canary_metrics.cell_metrics
MCG,LIVE_MININET_MOQ,True,redandblack,4g,60,152,c148mcg_redandblack_4g_u60_MCG_COMPONENT_s152,0.550373550206819,0.5324999885892853,0.9825011088721839,0.09834480109865398,0.9921259842519685,255788003,14617383532,1.70317546526591,,False,120,command148_canary_metrics.cell_metrics
MCG,LIVE_MININET_MOQ,True,redandblack,4g,60,153,c148mcg_redandblack_4g_u60_MCG_COMPONENT_s153,0.5580445225759226,0.5462499666674114,0.9817468209741724,0.10094775112044928,0.9924242424242424,157742393,8641913432,1.703317137559255,,False,120,command148_canary_metrics.cell_metrics
MCG,LIVE_MININET_MOQ,True,redandblack,4g,100,151,c148mcg_redandblack_4g_u100_MCG_COMPONENT_s151,0.4515488534256901,0.36449999531543636,0.9890012640798552,0.09600973189023693,0.9924242424242424,98792645,8982181745,1.0214326620101928,,False,120,command148_canary_metrics.cell_metrics
MCG,LIVE_MININET_MOQ,True,redandblack,4g,100,152,c148mcg_redandblack_4g_u100_MCG_COMPONENT_s152,0.4547137143773837,0.36999999581261206,0.9880950937902103,0.09540037705157413,0.9925925925925926,117717086,9888115364,1.0217729449272155,,False,120,command148_canary_metrics.cell_metrics
MCG,LIVE_MININET_MOQ,True,redandblack,4g,100,153,c148mcg_redandblack_4g_u100_MCG_COMPONENT_s153,0.44392189360919027,0.3479999951003545,0.9892688212916826,0.0813020584929538,0.9919354838709677,114849151,10702379871,1.0211418056488037,,False,120,command148_canary_metrics.cell_metrics
MCG,LIVE_MININET_MOQ,True,redandblack,wifi,20,151,c148mcg_redandblack_wifi_u20_MCG_COMPONENT_s151,0.6444725956076833,0.7124999894616131,0.9353644696749097,0.11245676992007962,1.0,1130711935,17493659127,0.0,,False,120,command148_canary_metrics.cell_metrics
MCG,LIVE_MININET_MOQ,True,redandblack,wifi,20,152,c148mcg_redandblack_wifi_u20_MCG_COMPONENT_s152,0.6665544589044907,0.7499999637829641,0.933807264215906,0.11264890279509479,0.9852941176470589,1458965498,22041172354,5.103860449790955,,False,120,command148_canary_metrics.cell_metrics
MCG,LIVE_MININET_MOQ,True,redandblack,wifi,20,153,c148mcg_redandblack_wifi_u20_MCG_COMPONENT_s153,0.6463803548606436,0.7187499484815567,0.9279837777168698,0.11243705771671855,0.9838709677419355,794875777,11037454504,5.1053546667099,,False,120,command148_canary_metrics.cell_metrics
MCG,LIVE_MININET_MOQ,True,redandblack,wifi,60,151,c148mcg_redandblack_wifi_u60_MCG_COMPONENT_s151,0.6062322855147968,0.6245833176777128,0.9824963546359402,0.09427862500543924,1.0,304910492,17419828022,0.0,,False,120,command148_canary_metrics.cell_metrics
MCG,LIVE_MININET_MOQ,True,redandblack,wifi,60,152,c148mcg_redandblack_wifi_u60_MCG_COMPONENT_s152,0.5813545669355368,0.5829166535252261,0.9823610652401759,0.09323794326428624,1.0,291769561,16541223434,0.0,,False,120,command148_canary_metrics.cell_metrics
MCG,LIVE_MININET_MOQ,True,redandblack,wifi,60,153,c148mcg_redandblack_wifi_u60_MCG_COMPONENT_s153,0.6034705799481054,0.6254166317623745,0.9794693092003502,0.1109781760627129,1.0,260057700,12666777876,0.0,,False,120,command148_canary_metrics.cell_metrics
MCG,LIVE_MININET_MOQ,True,redandblack,wifi,100,151,c148mcg_redandblack_wifi_u100_MCG_COMPONENT_s151,0.4708715159695419,0.4019999953350133,0.9863543562333531,0.11278046859869556,1.0,190232007,13940859827,0.0,,False,120,command148_canary_metrics.cell_metrics
MCG,LIVE_MININET_MOQ,True,redandblack,wifi,100,152,c148mcg_redandblack_wifi_u100_MCG_COMPONENT_s152,0.46598097995390947,0.38924999273063693,0.9860684003027612,0.09390743840108653,0.9930555555555556,170017248,12203713263,1.0214987325668334,,False,120,command148_canary_metrics.cell_metrics
MCG,LIVE_MININET_MOQ,True,redandblack,wifi,100,153,c148mcg_redandblack_wifi_u100_MCG_COMPONENT_s153,0.4570342813001367,0.3737499927090361,0.9877741485202548,0.0943950097023246,1.0,145155236,11872811987,0.0,,False,120,command148_canary_metrics.cell_metrics
MCG,LIVE_MININET_MOQ,True,redandblack,fiber_optic,20,151,c148mcg_redandblack_fiber_optic_u20_MCG_COMPONENT_s151,0.683363788006649,0.7712498920343773,0.9387790952597096,0.09387280685936539,1.0,751717896,12278777963,0.0,,False,120,command148_canary_metrics.cell_metrics
MCG,LIVE_MININET_MOQ,True,redandblack,fiber_optic,20,152,c148mcg_redandblack_fiber_optic_u20_MCG_COMPONENT_s152,0.6705648377488114,0.7487498066481746,0.9418272714427718,0.09427909400524237,0.9850746268656716,1312741738,22566274104,5.103076839447022,,False,120,command148_canary_metrics.cell_metrics
MCG,LIVE_MININET_MOQ,True,redandblack,fiber_optic,20,153,c148mcg_redandblack_fiber_optic_u20_MCG_COMPONENT_s153,0.7208211920024581,0.8312498057214074,0.9446974559843783,0.094020369509873,1.0,739997604,13380896253,0.0,,False,120,command148_canary_metrics.cell_metrics
MCG,LIVE_MININET_MOQ,True,redandblack,fiber_optic,60,151,c148mcg_redandblack_fiber_optic_u60_MCG_COMPONENT_s151,0.631324476514831,0.6699999915530205,0.9804605974857509,0.10527111858945962,1.0,353889274,18111570901,0.0,,False,120,command148_canary_metrics.cell_metrics
MCG,LIVE_MININET_MOQ,True,redandblack,fiber_optic,60,152,c148mcg_redandblack_fiber_optic_u60_MCG_COMPONENT_s152,0.5704489298366957,0.5691666265571195,0.9813599992506399,0.10927363940157242,1.0,288877162,15497701201,0.0,,False,120,command148_canary_metrics.cell_metrics
MCG,LIVE_MININET_MOQ,True,redandblack,fiber_optic,60,153,c148mcg_redandblack_fiber_optic_u60_MCG_COMPONENT_s153,0.6518781525631322,0.7033332761417965,0.9813505254063275,0.10306296315685004,1.0,207416655,11121849785,0.0,,False,120,command148_canary_metrics.cell_metrics
MCG,LIVE_MININET_MOQ,True,redandblack,fiber_optic,100,151,c148mcg_redandblack_fiber_optic_u100_MCG_COMPONENT_s151,0.4741933605596663,0.4079999960425581,0.9846845199097565,0.11185178028871764,1.0,210943118,13773196580,0.0,,False,120,command148_canary_metrics.cell_metrics
MCG,LIVE_MININET_MOQ,True,redandblack,fiber_optic,100,152,c148mcg_redandblack_fiber_optic_u100_MCG_COMPONENT_s152,0.4705346523079971,0.3974999964917265,0.9827282065239044,0.09098264812009887,1.0,172703374,9999156963,0.0,,False,120,command148_canary_metrics.cell_metrics
MCG,LIVE_MININET_MOQ,True,redandblack,fiber_optic,100,153,c148mcg_redandblack_fiber_optic_u100_MCG_COMPONENT_s153,0.47506520753037024,0.40874999296399767,0.9857966818363166,0.11089305804738352,1.0,193205441,13602838349,0.0,,False,120,command148_canary_metrics.cell_metrics
Rolling,CAST_HANDBOOK_NOT_SAME_SUBSTRATE,False,redandblack,4g,20,handbook_mean,,0.02,,,,,,,,,False,,MM26 command82 handbook
Rolling,CAST_HANDBOOK_NOT_SAME_SUBSTRATE,False,redandblack,4g,60,handbook_mean,,0.0,,,,,,,,,False,,MM26 command82 handbook
Rolling,CAST_HANDBOOK_NOT_SAME_SUBSTRATE,False,redandblack,4g,100,handbook_mean,,0.0,,,,,,,,,False,,MM26 command82 handbook
Rolling,CAST_HANDBOOK_NOT_SAME_SUBSTRATE,False,redandblack,wifi,20,handbook_mean,,0.001,,,,,,,,,False,,MM26 command82 handbook
Rolling,CAST_HANDBOOK_NOT_SAME_SUBSTRATE,False,redandblack,wifi,60,handbook_mean,,0.044,,,,,,,,,False,,MM26 command82 handbook
Rolling,CAST_HANDBOOK_NOT_SAME_SUBSTRATE,False,redandblack,wifi,100,handbook_mean,,0.02,,,,,,,,,False,,MM26 command82 handbook
Rolling,CAST_HANDBOOK_NOT_SAME_SUBSTRATE,False,redandblack,fiber_optic,20,handbook_mean,,0.0,,,,,,,,,False,,MM26 command82 handbook
Rolling,CAST_HANDBOOK_NOT_SAME_SUBSTRATE,False,redandblack,fiber_optic,60,handbook_mean,,0.038,,,,,,,,,False,,MM26 command82 handbook
Rolling,CAST_HANDBOOK_NOT_SAME_SUBSTRATE,False,redandblack,fiber_optic,100,handbook_mean,,0.04,,,,,,,,,False,,MM26 command82 handbook
