timestamp,headQuat,headEuler,headForw,headLatLon,headTilt,headUV
0.3595885,"(-0.01736542,0.00784373,0.03996891, -0.99901920)","(1.95243100,359.0219, 355.40120000)","(-0.01706022,-0.03406976, 0.99927380)","(-1.95243100, -0.97809370)",-4.596147,"(0.50029810, 0.50803080)"
0.3729326,"(-0.01921700,0.00815915,0.04001962, -0.99898080)","(2.16295800,358.9771, 355.39250000)","(-0.01783979,-0.03774177, 0.99912830)","(-2.16295800, -1.02292800)",-4.604152,"(0.50015590, 0.50919740)"
0.3862206,"(-0.02120543,0.00848029,0.03999382, -0.99893890)","(2.38921200,358.9311, 355.39230000)","(-0.01863875,-0.04168754, 0.99895680)","(-2.38921200, -1.06891300)",-4.603599,"(0.50002030, 0.51045320)"
0.4002408,"(-0.02336825,0.00890954,0.03984357, -0.99889290)","(2.63509000,358.8722, 355.40570000)","(-0.01966150,-0.04597479, 0.99874910)","(-2.63509000, -1.12778700)",-4.589451,"(0.49985050, 0.51181920)"
0.4122019,"(-0.02564580,0.00947697,0.03963152, -0.99884020)","(2.89357400,358.7972, 355.42530000)","(-0.02096472,-0.05048094, 0.99850490)","(-2.89357400, -1.20281200)",-4.568833,"(0.49965550, 0.51325760)"
0.4259333,"(-0.02818127,0.01023855,0.03936099, -0.99877510)","(3.18083300,358.6989, 355.45020000)","(-0.02267050,-0.0554875, 0.99820200)","(-3.18083300, -1.30104000)",-4.542735,"(0.49940220, 0.51485680)"
0.4401022,"(-0.03078171,0.01129271,0.03896643, -0.99870250)","(3.47445200,358.5674, 355.48780000)","(-0.02495502,-0.06060346, 0.99784990)","(-3.47445200, -1.43259900)",-4.503935,"(0.49907290, 0.51649370)"
0.4525777,"(-0.03349596,0.01249098,0.0384921, -0.99861920)","(3.78070100,358.4192, 355.53300000)","(-0.02752612,-0.0659378, 0.99744400)","(-3.78070100, -1.58077100)",-4.457247,"(0.49870260, 0.51820250)"
0.4659507,"(-0.03630711,0.01420505,0.03789248, -0.99852100)","(4.09614200,358.2121, 355.58950000)","(-0.03111961,-0.07143029, 0.99696000)","(-4.09614200, -1.78787900)",-4.399127,"(0.49817460, 0.51996460)"
0.4793204,"(-0.03917499,0.01635062,0.03717947, -0.99840660)","(4.41668100,357.9559, 355.65590000)","(-0.03556215,-0.07700931, 0.99639590)","(-4.41668100, -2.04406400)",-4.331195,"(0.49752520, 0.52175870)"
0.4977148,"(-0.04222419,0.01908325,0.03622948, -0.99826880)","(4.75639500,357.6329, 355.74470000)","(-0.04115995,-0.08291944, 0.99570590)","(-4.75639500, -2.36711400)",-4.240624,"(0.49672170, 0.52367030)"
0.506155,"(-0.04537110,0.02274308,0.0350515, -0.99809600)","(5.10464700,357.2044, 355.85270000)","(-0.04858021,-0.08897508, 0.99484840)","(-5.10464700, -2.79563400)",-4.130763,"(0.49564470, 0.52561400)"
0.5193053,"(-0.04869430,0.02724131,0.03365278, -0.99787490)","(5.47135800,356.6802, 355.97820000)","(-0.05764424,-0.09534815, 0.99377360)","(-5.47135800, -3.31974500)",-4.003452,"(0.49433060, 0.52766840)"
0.5326883,"(-0.05215578,0.03245729,0.03205959, -0.99759630)","(5.85318100,356.0745, 356.11790000)","(-0.06810273,-0.1019797, 0.99245260)","(-5.85318100, -3.92551900)",-3.861836,"(0.49280170, 0.52981760)"
0.5462232,"(-0.05552807,0.03877788,0.0304118, -0.99724020)","(6.22257500,355.3426, 356.25320000)","(-0.08071914,-0.108391, 0.99082580)","(-6.22257400, -4.65740300)",-3.724626,"(0.49091880, 0.53188800)"
0.5611869,"(-0.05904419,0.04603155,0.02853165, -0.99678530)","(6.60835700,354.5042, 356.40330000)","(-0.09513640,-0.115082, 0.98878970)","(-6.60835700, -5.49579700)",-3.572757,"(0.48875960, 0.53405270)"
0.5729608,"(-0.06261407,0.05404298,0.02645768, -0.99622240)","(7.00150200,353.5795, 356.56420000)","(-0.11099090,-0.1218954, 0.98631770)","(-7.00150200, -6.42051600)",-3.410189,"(0.48637440, 0.53626250)"
0.5860898,"(-0.06630734,0.06322567,0.02390632, -0.99550710)","(7.41157200,352.5223, 356.76370000)","(-0.12905350,-0.1289959, 0.98321170)","(-7.41157200, -7.47773100)",-3.209186,"(0.48366510, 0.53856620)"
0.5992029,"(-0.07003337,0.07319811,0.02093091, -0.99463520)","(7.83097200,351.3765, 356.99760000)","(-0.14854260,-0.1362511, 0.97947470)","(-7.83097300, -8.62350000)",-2.974404,"(0.48077340, 0.54092740)"
0.6132237,"(-0.07400940,0.08470979,0.0174211, -0.99350060)","(8.28547200,350.0552, 357.26870000)","(-0.17089710,-0.1441053, 0.97469370)","(-8.28547300, -9.94482200)",-2.702768,"(0.47740950, 0.54349750)"
0.6260372,"(-0.07793380,0.09727028,0.01331101, -0.99211270)","(8.74567000,348.6165, 357.58930000)","(-0.19508090,-0.1520487, 0.96892960)","(-8.74567100, -11.38354000)",-2.38261,"(0.47380450, 0.54607180)"
0.6398837,"(-0.08180961,0.1106416,0.00895216, -0.99044710)","(9.21126200,347.0844, 357.91940000)","(-0.22063400,-0.1600752, 0.96213130)","(-9.21126300, -12.91565000)",-2.053761,"(0.46995830, 0.54869040)"
0.6579488,"(-0.08574130,0.1245305,0.00445552, -0.98849420)","(9.69479600,345.4907, 358.24640000)","(-0.24695930,-0.1683998, 0.95428120)","(-9.69479600, -14.50931000)",-1.728617,"(0.46593680, 0.55142530)"
0.6662487,"(-0.08946618,0.138924,-0.00019876, -0.98625340)","(10.16758000,343.8374, 358.57570000)","(-0.27399300,-0.1765279, 0.94539180)","(-10.16758000, -16.16262000)",-1.401792,"(0.46175040, 0.55405210)"
0.6800309,"(-0.09329892,0.153561,-0.00480011, -0.98371300)","(10.66305000,342.1505, 358.87990000)","(-0.30122410,-0.1850329, 0.93542870)","(-10.66305000, -17.84945000)",-1.10074,"(0.45745060, 0.55681500)"
0.6931307,"(-0.09721515,0.1683332,-0.00923145, -0.98088120)","(11.17585000,340.4406, 359.14610000)","(-0.32843490,-0.1938209, 0.92442630)","(-11.17585000, -19.55937000)",-0.8376676,"(0.45304130, 0.55968670)"
0.7060753,"(-0.10132750,0.1830887,-0.01336445, -0.97776930)","(11.71500000,338.7224, 359.35810000)","(-0.35532860,-0.2030436, 0.91242250)","(-11.71500000, -21.27765000)",-0.6286958,"(0.44855340, 0.56269340)"
0.7197772,"(-0.10542830,0.1971332,-0.01650442, -0.97455170)","(12.23945000,337.0699, 359.44900000)","(-0.38075280,-0.2119978, 0.90004680)","(-12.23945000, -22.93015000)",-0.5385033,"(0.44408140, 0.56559850)"
0.7331094,"(-0.10968020,0.2107967,-0.01912372, -0.97116910)","(12.77356000,335.4475, 359.46560000)","(-0.40524340,-0.2210984, 0.88707010)","(-12.77356000, -24.55251000)",-0.5211454,"(0.43957540, 0.56857430)"
0.7462468,"(-0.11387350,0.2241142,-0.02170531, -0.96764380)","(13.30337000,333.8575, 359.46800000)","(-0.42878210,-0.2301069, 0.87361130)","(-13.30336000, -26.14253000)",-0.5173771,"(0.43516150, 0.57150760)"
0.7614139,"(-0.11805530,0.2371887,-0.02427371, -0.96395810)","(13.83435000,332.2873, 359.45680000)","(-0.45154860,-0.2391156, 0.85960890)","(-13.83435000, -27.71274000)",-0.5274898,"(0.43079270, 0.57446110)"
0.773009,"(-0.12208140,0.250094,-0.02694361, -0.96011620)","(14.35337000,330.7303, 359.44840000)","(-0.47366000,-0.2479015, 0.84509830)","(-14.35337000, -29.26972000)",-0.5341251,"(0.42643420, 0.57734310)"
0.786309,"(-0.12578800,0.2622706,-0.02933997, -0.95631100)","(14.83136000,329.2511, 359.41530000)","(-0.49424320,-0.2559749, 0.83078310)","(-14.83136000, -30.74894000)",-0.5654452,"(0.42227480, 0.57998250)"
0.8000618,"(-0.12936130,0.2742281,-0.03149599, -0.95240360)","(15.28868000,327.787, 359.34930000)","(-0.51420300,-0.2636826, 0.81612920)","(-15.28869000, -32.21302000)",-0.6274496,"(0.41812050, 0.58254550)"
0.8181149,"(-0.13273180,0.2854152,-0.03341651, -0.94857980)","(15.71715000,326.4067, 359.26360000)","(-0.53260740,-0.2708886, 0.80184080)","(-15.71715000, -33.59334000)",-0.708588,"(0.41416360, 0.58490770)"
0.8260939,"(-0.13603190,0.2964954,-0.03512254, -0.94464400)","(16.13078000,325.028, 359.14650000)","(-0.55060960,-0.2778309, 0.78717150)","(-16.13079000, -34.97197000)",-0.8197219,"(0.41015450, 0.58720450)"
0.839746,"(-0.13926840,0.3071347,-0.03663396, -0.94070750)","(16.53044000,323.6926, 359.00630000)","(-0.56764390,-0.2845247, 0.77254520)","(-16.53044000, -36.30737000)",-0.9526493,"(0.40626410, 0.58942820)"
0.8525358,"(-0.14251360,0.3171535,-0.03783529, -0.93684150)","(16.91930000,322.4207, 358.83170000)","(-0.58346110,-0.2910246, 0.75820700)","(-16.91931000, -37.57927000)",-1.117676,"(0.40245540, 0.59155410)"
0.8661873,"(-0.14581310,0.326827,-0.03870124, -0.93296560)","(17.29997000,321.1774, 358.61380000)","(-0.59855040,-0.2973744, 0.74384530)","(-17.29997000, -38.82261000)",-1.323378,"(0.39868440, 0.59367840)"
0.8798461,"(-0.14893460,0.3352921,-0.03912058, -0.92944460)","(17.64308000,320.0733, 358.36730000)","(-0.61161810,-0.3030865, 0.73079540)","(-17.64308000, -39.92667000)",-1.555825,"(0.39526010, 0.59554350)"
0.8924436,"(-0.15187710,0.3434289,-0.0395893, -0.92597120)","(17.96644000,319.0066, 358.13240000)","(-0.62398510,-0.3084598, 0.71797990)","(-17.96644000, -40.99340000)",-1.776521,"(0.39195840, 0.59734340)"
0.9066603,"(-0.15472010,0.3511325,-0.04012407, -0.92258220)","(18.28004000,317.9904, 357.91060000)","(-0.63548120,-0.3136618, 0.70553540)","(-18.28004000, -42.00961000)",-1.983766,"(0.38877750, 0.59906070)"
0.920435,"(-0.15739030,0.3583778,-0.04082664, -0.91930780)","(18.58088000,317.0315, 357.71780000)","(-0.64606760,-0.318643, 0.69358720)","(-18.58088000, -42.96848000)",-2.163289,"(0.38587000, 0.60072170)"
0.932659,"(-0.15976850,0.3652662,-0.04150359, -0.91615070)","(18.84831000,316.1171, 357.53700000)","(-0.65601590,-0.3230638, 0.68210920)","(-18.84831000, -43.88288000)",-2.330786,"(0.38301990, 0.60215710)"
