DL_bitrate_Mbps
0.003
0.003
0.31
1.757
4.216
2.874
2.516
1.386
2.382
2.807
1.666
1.107
3.824
2.169
2.874
2.337
1.543
2.169
0.156
1.107
0.313
0.1
0.705
1.185
0.134
0.234
0.995
0.749
0.011
0.95
0
0.134
0.57
0.413
0.626
0.693
0.436
0.659
0.436
0.123
0.469
0.469
0.156
0.078
0.246
0.123
0.592
0.212
0.335
0.738
0.671
0.223
0.357
0.156
0.413
0.078
1.107
1.028
0.581
0.1
0.391
0.637
0
0
0.1
0.156
0.637
0.145
0.235
0.536
0.536
0.257
0.178
0.068
0.056
0.29
0.319
0.113
0.348
0.287
0.413
0.279
0.257
0.246
0.156
0.279
0.234
0.357
0.246
0.167
0.234
0.38
0.391
0.313
0.357
0.324
0.234
0.458
0.38
0.424
0.447
0.402
0.447
0.391
0.592
0.357
0.369
0.315
0.29
0.503
0.251
0.559
0.458
0.503
0.38
0.335
0.436
0.38
0.38
0.637
0.726
0.436
0.961
2.449
0.055
0.592
0.19
0.271
0
0.1
0.928
1.588
1.342
1.308
0.223
1.688
1.89
0.816
3.534
1.711
2.549
2.516
2.617
2.236
2.538
3.265
2.236
1.901
3.947
2.796
2.706
0.738
0.145
2.292
1.588
0.592
0.592
0.19
2.628
0.883
1.621
1.946
1.465
1.274
1.878
0.973
1.554
1.699
1.129
1.666
1.912
1.856
1.174
2.247
1.442
0.973
1.767
2.069
1.699
1.923
2.527
3.601
3.455
0.402
0.905
1.286
0.682
1.219
0.268
1.319
2.382
2.46
0.715
2.415
1.744
1.532
1.308
1.666
0.782
2.102
1.14
1.521
1.274
0.816
0.738
0.38
0.95
0.76
0.648
2.661
1.028
2.035
0.503
1.968
0.671
1.711
2.917
0.891
1.241
1.252
1.364
0.995
0.693
0.346
0.682
0.559
0.57
0.559
0.48
0.592
0.156
0.402
0.234
0.447
0.458
0.279
0.492
1.241
1.163
0.48
0.917
1.04
1.017
0.794
0.973
1.151
1.308
1.644
1.532
3.836
6.542
5.334
5.334
6.654
7.661
7.616
9.45
11.508
12.458
8.018
5.737
8.421
3.176
5.066
4.641
1.398
1.398
2.527
0.805
2.952
2.36
2.382
0.503
0.279
0.268
0.246
0.156
0.335
0.335
0.257
1.252
1.744
0
2.225
6.565
8.13
8.32
7.862
8.074
7.784
8.779
8.466
10.803
9.763
11.005
10.915
7.918
9.864
9.931
10.927
10.11
8.678
7.963
5.122
7.079
7.079
8.246
9.388
10.506
8.206
7.459
6.285
6.207
6.106
6.799
6.799
7.236
6.799
7.515
8.723
9.819
8.924
10.087
8.432
9.092
9.092
7.001
7.157
9.07
9.641
6.833
9.707
10.669
9.394
5.882
6.77
8.007
7.571
5.01
5.849
7.37
6.128
5.994
7.493
8.991
8.097
8.287
8.209
6.99
4.518
3.97
4.428
5.323
5.424
7.504
21.059
15.635
6.732
8.298
8.298
7.347
6.475
6.173
6.889
7.851
9.226
8.242
8.097
6.374
7.538
7.538
7.538
9.774
10.859
12.212
16.652
24.481
53.739
32.142
56.646
41.582
39.054
24.067
26.013
26.013
32.142
30.409
48.84
42.085
41.731
26.517
48.147
42.331
41.749
41.38
42.152
42.04
42.029
42.353
42.152
42.353
42.219
42.141
42.051
38.886
31.729
26.125
28.083
22.96
25.488
24.403
17.249
26.26
24.291
21.07
25.678
27.535
22.177
23.396
13.32
13.32
52.945
42.244
42.219
42.118
41.895
42.141
39.848
41.112
41.481
42.476
41.66
32.523
37.969
42.32
41.527
32.31
27.065
20.925
19.068
20.175
24.067
20.109
21.339
24.224
24.582
24.739
24.973
27.076
28.664
32.779
36.403
37.175
38.249
44.031
37.723
39.971
35.005
26.483
21.249
18.722
17.693
18.341
18.99
16.429
18.252
19.325
18.352
19.728
20.377
21.674
25.6
33.082
30.588
30.588
22.893
24.783
26.092
17.413
18.285
13.823
3.254
10.244
10.244
11.329
3.399
3.097
9.036
11.765
12.201
17.625
17.983
14.248
28.776
28.027
27.333
27.221
18.89
15.445
16.585
18.889
16.776
21.663
29.391
23.9
16.608
16.183
11.329
4.753
5.603
3.142
1.252
1.252
1.163
7.157
4.775
12.865
18.464
10.278
23.575
29.481
20.701
20.701
27.725
29.671
29.503
19.683
20.142
21.607
28.832
30.196
30.196
21.204
19.996
34.491
30.174
37.611
36.471
13.185
20.749
20.749
6.195
24.794
29.648
9.405
22.278
11.843
30.051
20.243
20.243
27.445
12.682
26.204
24.716
10.501
13.1
17.055
31.215
21.764
18.699
24.347
24.627
35.553
30.744
14.595
11.597
18.073
20.533
21.025
25.521
18.934
25.253
32.455
27.02
22.01
20.298
22.524
18.464
24.772
22.513
23.039
25.969
32.679
33.529
28.798
23.486
29.928
24.347
23.042
13.991
25.767
25.847
23.475
22.548
20.858
17.2
20.086
16.25
18.118
17.704
17.693
8.197
20.332
24.492
15.199
19.393
19.393
27.233
30.867
22.155
36.314
33.194
30.308
29.033
22.435
21.875
21.875
22.435
20.958
20.723
18.319
20.656
17.301
18.308
20.064
20.556
20.556
20.906
17.972
19.057
19.84
21.204
20.914
22.559
23.217
25.387
25.935
22.725
18.587
19.292
20.545
19.527
24.515
25.935
23.016
23.016
28.306
32.925
35.911
37.857
35.978
33.339
35.777
35.788
31.471
29.76
31.572
34.167
19.855
22.815
8.253
12.157
25.857
8.936
19.717
34.021
26.282
24.828
16.406
24.37
14.375
30.48
17.916
25.432
29.402
37.578
26.45
13.856
16.116
19.236
15.713
20.187
8.175
19.75
20.522
22.032
14.181
15.601
16.462
18.073
17.379
16.753
14.293
15.02
13.801
9.215
13.678
14.852
15.008
11.262
15.456
11.165
14.494
18.61
15.131
13.722
12.28
12.593
15.858
13.633
15.59
15.926
16.664
14.874
14.841
13.387
17.122
17.368
22.278
15.501
10.87
10.121
9.439
8.924
10.96
8.924
10.356
10.065
9.338
10.334
10.848
11.519
8.488
13.264
14.181
15.12
13.566
14.639
21.473
22.401
25.152
19.762
36.493
16.82
50.965
40.575
38.305
46.451
52.307
52.307
43.684
46.503
44.098
40.743
35.442
36.605
32.925
30.252
33.909
25.79
22.166
22.166
17.279
15.031
19.37
20.354
21.92
22.423
25.309
32.925
32.925
22.099
35.151
20.757
16.172
18.867
19.359
19.068
21.764
17.592
17.592
15.802
12.655
12.832
11.843
11.788
13.13
11.81
12.805
9.472
9.472
9.282
23.866
23.072
17.704
22.614
19.113
13.89
18.319
13.555
16.809
11.955
11.955
7.806
4.328
5.882
7.393
13.7
16.574
16.127
12.682
11.06
13.622
13.622
12.57
19.594
30.241
34.077
24.716
23.408
14.326
24.906
16.921
11.151
11.966
11.966
8.466
7.806
8.566
7.851
6.922
8.79
4.753
6.162
6.162
5.021
5.29
6.195
7.437
4.607
1.599
0.973
1.476
1.476
3.478
12.637
15.135
24.727
14.494
7.269
31.516
31.516
22.39
15.556
23.441
4.932
29.111
28.038
22.2
22.2
8.455
13.856
16.899
17.816
16.049
16.831
14.158
14.158
14.729
12.705
14.785
10.233
10.032
11.944
11.676
10.759
10.759
5.636
5.849
7.638
8.656
8.768
8.824
8.824
8.399
8.79
7.56
5.457
6.755
8.164
8.455
8.455
8.186
9.093
10.652
11.273
8.533
12.951
13.834
13.834
7.146
7.068
8.992
9.584
11.06
11.06
