content,split,strategy,n,U,decoded_completion,Rq,Ro,bandwidth_B_shared,stall_last_s,p99_delay
Red-and-Black,seen,MD2G-Cast,63,0.7051105685097321,0.9224179894179894,0.7900132029647234,0.9733513596140024,450847349.2063492,0.45030048034809256,NOT_IN_FINAL_CLAIM_CONTRACT
Red-and-Black,seen,Heuristic,63,0.5648633623228406,0.7778854630447503,0.5495528978006026,0.9728954837776557,408742153.36507934,0.5891213163749252,NOT_IN_FINAL_CLAIM_CONTRACT
Red-and-Black,seen,Clustering,63,0.6588451098253194,0.8987406843507405,0.7161612797571163,0.9720816704695406,504707919.85714287,1.2704223657285094,NOT_IN_FINAL_CLAIM_CONTRACT
Red-and-Black,seen,MoQ Unicast,63,0.1999926223029259,0.8428007418970951,0.43408462606898207,0.0,4752869847.650794,0.843005360535213,NOT_IN_FINAL_CLAIM_CONTRACT
Longdress,seen,MD2G-Cast,63,0.6685635554777731,0.8941098508241365,0.729913994124313,0.9726061539325521,384180588.38095236,1.3385336070716696,NOT_IN_FINAL_CLAIM_CONTRACT
Longdress,seen,Heuristic,63,0.5589951985264037,0.7824209725576394,0.5448095257886402,0.9720906636499849,394926270.71428573,0.8532901154371797,NOT_IN_FINAL_CLAIM_CONTRACT
Longdress,seen,Clustering,63,0.6458223901919106,0.8916061980347695,0.6984377732704184,0.9708498669292445,478575287.36507934,1.0958952619032885,NOT_IN_FINAL_CLAIM_CONTRACT
Longdress,seen,MoQ Unicast,63,0.1962105549407365,0.8744071863646156,0.4388253691098652,0.0,4758538102.476191,0.7780789797268216,NOT_IN_FINAL_CLAIM_CONTRACT
Soldier,unseen,MD2G-Cast,63,0.6512872428536102,0.8877548858440671,0.6985846405234943,0.9724074869055717,421039773.53968257,0.8387539661498297,NOT_IN_FINAL_CLAIM_CONTRACT
Soldier,unseen,Heuristic,63,0.5521384205089667,0.840414530402849,0.5371217002137709,0.9723487895444116,411813647.4285714,0.8864734034311204,NOT_IN_FINAL_CLAIM_CONTRACT
Soldier,unseen,Clustering,63,0.6421384290446299,0.8867422524565381,0.6926944011079129,0.9706315195728161,460556940.7619048,0.7157133805814875,NOT_IN_FINAL_CLAIM_CONTRACT
Soldier,unseen,MoQ Unicast,63,0.17143612477545359,0.8514783753986105,0.37483993437233804,0.0,3757016871.5555553,0.8024942878314427,NOT_IN_FINAL_CLAIM_CONTRACT
Loot,unseen,MD2G-Cast,63,0.6880304228258247,0.9340846560846561,0.7597526366707155,0.9736525249313632,380372448.06349206,0.5361888692744825,NOT_IN_FINAL_CLAIM_CONTRACT
Loot,unseen,Heuristic,63,0.5869757013638391,0.8049325656188402,0.5893121755371904,0.9732118629104592,438201250.38095236,0.49774017500498935,NOT_IN_FINAL_CLAIM_CONTRACT
Loot,unseen,Clustering,63,0.6693057403261189,0.9169312169312169,0.7345660609101188,0.9722108153350726,500927139.9047619,0.520853608310538,NOT_IN_FINAL_CLAIM_CONTRACT
Loot,unseen,MoQ Unicast,63,0.1942537278361394,0.844567955311559,0.40723281378269877,0.0,4408832264.444445,0.7624236801313976,NOT_IN_FINAL_CLAIM_CONTRACT
