block,content,network,users,seed,MD2G_U,MD2G_Rq,MD2G_Ro,MD2G_Rb,MD2G_weak_user_Rq,strongest_same,strongest_same_U,delta_U,unicast_U
longdress_default_mix_u100_s152,longdress,default_mix,100,152,0.7598003113134729,0.8759999595671671,0.9895465167527924,0.08790862410016931,0.4249997507446209,RULE_COMPONENT,0.6518174062702239,0.10798290504324903,0.11202145944906305
longdress_default_mix_u100_s153,longdress,default_mix,100,153,0.7591803660140568,0.8749999844664935,0.9894350497311443,0.08785591399083563,0.3000000072119473,CLUSTERING_COMPONENT,0.6453561140830859,0.1138242519309709,0.11717800364046857
longdress_default_mix_u20_s151,longdress,default_mix,20,151,0.4917405512246418,0.4399999751699865,0.9436693151855795,0.05451175115830004,0.3000000072119473,RULE_COMPONENT,0.6315490938280557,-0.1398085426034139,0.369185776086328
longdress_default_mix_u20_s152,longdress,default_mix,20,152,0.4762320958120853,0.4149999770981006,0.9416087128981836,0.054467124475472965,0.0,CLUSTERING_COMPONENT,0.6305448097944902,-0.15431271398240493,0.37134723053920515
longdress_default_mix_u20_s153,longdress,default_mix,20,153,0.4919619663353781,0.4399999751699865,0.9437842962751356,0.053227285569318376,0.3000000072119473,RULE_COMPONENT,0.6097071334462856,-0.11774516711090749,0.36174579310753097
longdress_default_mix_u60_s151,longdress,default_mix,60,151,0.761148660647886,0.8895833224471263,0.9826248039711963,0.12171689208792551,0.0,CLUSTERING_COMPONENT,0.6680529142631088,0.09309574638477724,0.14217738464840673
longdress_default_mix_u60_s152,longdress,default_mix,60,152,0.7623406920424934,0.8891666308242638,0.9821999557520625,0.11139516926720362,0.3000000072119473,RULE_COMPONENT,0.6560310946453435,0.10630959739714996,0.14156822318083884
longdress_default_mix_u60_s153,longdress,default_mix,60,153,0.7379375797914435,0.8499999795323686,0.982349752286937,0.11766563999807926,0.0,RULE_COMPONENT,0.6696378108636568,0.06829976892778666,0.13840902230807023
longdress_fiber_optic_u100_s151,longdress,fiber_optic,100,151,0.7895466984889957,0.9177499907868769,0.9896585714975527,0.05678625905012434,0.3000000072119473,CLUSTERING_COMPONENT,0.6602554989337265,0.12929119955526924,0.14490536423527164
longdress_fiber_optic_u100_s152,longdress,fiber_optic,100,152,0.7979423071017099,0.9397499857037565,0.9897038673757523,0.08889100776321376,0.3000000072119473,CLUSTERING_COMPONENT,0.6688481219312808,0.12909418517042903,0.14975603375482258
longdress_fiber_optic_u100_s153,longdress,fiber_optic,100,153,0.7734032457164135,0.8912499599239573,0.9893459038673191,0.057888041365270156,0.0,RULE_COMPONENT,0.6474200010198186,0.12598324469659494,0.10690175806644851
longdress_fiber_optic_u20_s151,longdress,fiber_optic,20,151,0.5230910313984808,0.48999996372642907,0.9490445642457025,0.05446725265868167,0.3000000072119473,RULE_COMPONENT,0.7032710830626496,-0.18018005166416884,0.3585848666995075
longdress_fiber_optic_u20_s152,longdress,fiber_optic,20,152,0.5295168653598209,0.4999999614377176,0.95,0.05322074335206391,0.4999999614377176,RULE_COMPONENT,0.7272132941878616,-0.19769642882804073,0.3184506437758802
longdress_fiber_optic_u20_s153,longdress,fiber_optic,20,153,0.5231789846029068,0.48999996372642907,0.9490455524258585,0.05388254492943502,0.3000000072119473,RULE_COMPONENT,0.7342647804038284,-0.21108579580092157,0.34725351871126237
longdress_fiber_optic_u60_s151,longdress,fiber_optic,60,151,0.7691632933112414,0.9016666343782478,0.9829110065217801,0.11709625964101462,0.3000000072119473,RULE_COMPONENT,0.6881154732579196,0.0810478200533219,0.1334412725711961
longdress_fiber_optic_u60_s152,longdress,fiber_optic,60,152,0.7913186472036196,0.9283333156886934,0.9830589728514998,0.07630723614980957,0.4999999614377176,CLUSTERING_COMPONENT,0.7028887205868171,0.08842992661680249,0.1261711619893121
longdress_fiber_optic_u60_s153,longdress,fiber_optic,60,153,0.788997442118586,0.9374999793989486,0.9829711648551567,0.1283022448971483,0.4249997507446209,RULE_COMPONENT,0.6928066326266296,0.09619080949195646,0.12312964068362434
longdress_wifi_dominant_u100_s151,longdress,wifi_dominant,100,151,0.709398801987458,0.7907498807974934,0.9893232733162488,0.08254629880066845,0.3000000072119473,CLUSTERING_COMPONENT,0.6584982536614198,0.050900548326038186,0.10388748540574322
