strategy,content,network,users,seed,U,Rq,decoded_completion_ratio,component_reuse_ratio,B_shared,B_unicast,bandwidth_per_completed_visible,mean_rx
MoQ Unicast,redandblack,4g,20,151,0.34837467335971145,0.7049998750925834,0.810126582278481,0.0,5280965114,5280965114,325934565.6296875,477141047.25
MD2G-Cast,redandblack,4g,60,152,0.7400571404381421,0.8520833072020166,0.9,0.9825378907247144,186830033,10699167555,3459815.425925926,485044740.4
Clustering,redandblack,4g,20,152,0.5485457368066495,0.5424998519510338,0.8142857142857143,0.9493160309072437,148707216,2934008892,9131144.842105264,507074339.55
Heuristic,redandblack,4g,20,152,0.45886051134101236,0.3799999904903581,0.7,0.9494707712416605,260704794,5159484924,18621771.0,509059133.75
MD2G-Cast,redandblack,4g,20,152,0.4887333961900485,0.4299999861103077,0.825,0.9497240600599993,154222946,3067529840,9346845.212121213,522178793.3
MoQ Unicast,redandblack,4g,60,152,0.14470670298990246,0.3512499803512986,0.7450980392156863,0.0,2937833869,2937833869,65714704.96447369,197545975.53333333
Clustering,redandblack,4g,20,151,0.6028048248228745,0.632499850882115,0.8714285714285714,0.9497350517171291,145905435,2902727248,8371623.31967213,509593395.15
MD2G-Cast,redandblack,4g,60,153,0.7448764879159036,0.8583332832418104,0.89,0.9821921965536575,182288541,10236441656,3413643.0898876404,485857191.85
Heuristic,redandblack,4g,60,153,0.5819943449856184,0.5716666528613134,0.7555555555555555,0.9822423982558829,230877435,13001611272,5092884.595588236,485353417.71666664
Clustering,redandblack,4g,60,153,0.6698146565167539,0.7316665248724873,0.9333333333333333,0.9805450077907382,143708976,7386740352,2566231.714285714,484155434.9
MoQ Unicast,redandblack,4g,60,153,0.12906271162229266,0.3283333294856055,0.7340425531914894,0.0,3265714570,3265714570,74149074.77777778,191836442.73333332
MD2G-Cast,redandblack,4g,100,151,0.7533760430955636,0.8674999628234351,0.89,0.9893398451325056,167986395,15758344704,1887487.5842696629,309905980.47
Heuristic,redandblack,4g,100,151,0.496577860394741,0.42599998646071174,0.7688679245283019,0.9898529873093967,107729466,10616865208,1401143.9749693251,311454255.9
Clustering,redandblack,4g,100,151,0.6426230616154872,0.68174998889951,0.8057142857142857,0.989808004153557,109712594,10764583861,1361681.1312056738,309886534.82
MoQ Unicast,redandblack,4g,100,151,0.12056708816029016,0.29399999754847,0.98,0.0,4457011874,4457011874,45479713.0,91880629.15
MD2G-Cast,redandblack,4g,100,152,0.7682072394549289,0.8894999744185896,0.912,0.9896281994821378,137693201,13275727851,1509793.870614035,309241327.6
Heuristic,redandblack,4g,100,152,0.49769633051828455,0.4279999862855097,0.7663551401869159,0.9896238044603296,110352138,10635125136,1439960.8251219513,310749949.72
Clustering,redandblack,4g,100,152,0.6368651052878268,0.6729999918461629,0.7971428571428572,0.9895907520648155,126841402,12185453050,1591200.3835125447,308936198.06
MoQ Unicast,redandblack,4g,100,152,0.11114062151905767,0.29399999754847,0.98,0.0,4004012264,4004012264,40857268.0,98681938.29
MD2G-Cast,redandblack,4g,100,153,0.7557486921621411,0.8689999692153074,0.872,0.9891715512682799,140033991,12932045436,1605894.3922018348,310730692.51
Heuristic,redandblack,4g,100,153,0.4879540937690333,0.41199998768712587,0.7393364928909952,0.9894872025290792,110899840,10549032292,1499991.4256410256,310798058.19
Clustering,redandblack,4g,100,153,0.6292901124297113,0.655499991913175,0.78,0.9898679744114772,109960450,10852760787,1409749.358974359,310042408.16
MoQ Unicast,redandblack,4g,100,153,0.14476952942413268,0.2909999975734856,0.97,0.0,3897769527,3897769527,40183191.0,58540150.47
MD2G-Cast,redandblack,wifi,20,151,0.5308480876214668,0.49999997997823714,1.0,0.95,799199832,15983996640,39959991.6,791143581.55
Heuristic,redandblack,wifi,20,151,0.6473581633224073,0.7024999912035136,0.95,0.9484507282490486,809708761,15707472356,42616250.578947365,757669472.35
Clustering,redandblack,wifi,20,151,0.6782258720440533,0.7587499207162908,0.9142857142857143,0.9478989846003179,1117628657,21451187629,61120317.1796875,989481421.25
MoQ Unicast,redandblack,wifi,20,151,0.3222301252339379,0.6274999875508314,0.6410256410256411,0.0,6541703219,6541703219,510252851.08199996,469462259.8
MD2G-Cast,redandblack,wifi,20,152,0.5246061460561223,0.48999998085424723,0.975,0.9490441743464757,799995131,15699777616,41025391.333333336,799607312.5
Heuristic,redandblack,wifi,20,152,0.603116492388299,0.6299999912542706,0.9,0.945200593742446,823929814,15035378488,45773878.55555555,766261413.65
Clustering,redandblack,wifi,20,152,0.6496794860056535,0.7124999068927199,0.9428571428571428,0.9449803791524511,1214201108,22068511002,64389452.696969695,1008423845.65
MoQ Unicast,redandblack,wifi,20,152,0.3606948870881049,0.6887499193837716,0.8450704225352113,0.0,12458641689,12458641689,737136299.9325,441451583.25
MD2G-Cast,redandblack,wifi,20,153,0.5308482754601783,0.49999997997823714,1.0,0.95,799802207,15996044140,39990110.35,795397852.75
Heuristic,redandblack,wifi,20,153,0.6212220124567682,0.6599999932227635,0.9333333333333333,0.9458322000547218,815339636,15052109128,43678909.07142857,783445731.2
Clustering,redandblack,wifi,20,153,0.6329872902705703,0.6862499207670478,0.8714285714285714,0.9412085777904172,1225732884,20848838792,70328935.96721311,991674123.45
MoQ Unicast,redandblack,wifi,20,153,0.33451751918224537,0.6749999885011624,0.6835443037974683,0.0,7086297132,7086297132,518349512.43333334,524965827.35
MD2G-Cast,redandblack,wifi,60,151,0.7398860425209809,0.8462499932312052,0.9033333333333333,0.9822770300805879,285713050,16121059354,5271458.48708487,486591550.5833333
Heuristic,redandblack,wifi,60,151,0.5720751594656402,0.5549999861224891,0.7611111111111111,0.9822602332100626,372657709,21006911388,8160387.788321168,488804997.98333335
Clustering,redandblack,wifi,60,151,0.6998574415334978,0.7808331814440568,0.9714285714285714,0.9827002654704524,342030750,19770866970,5868174.632352942,486221797.3833333
MoQ Unicast,redandblack,wifi,60,151,0.14597803692015898,0.3616666524070646,0.7619047619047619,0.0,4217619549,4217619549,92260427.634375,204395693.85
MD2G-Cast,redandblack,wifi,60,152,0.7639974401548452,0.8908333108120041,0.91,0.9826995073248016,317808639,18369918416,5820671.043956044,487472031.0
Heuristic,redandblack,wifi,60,152,0.5831577011857183,0.573333318985666,0.7777777777777778,0.9825305194224297,416196832,23824224776,8918503.542857144,489998848.06666666
Clustering,redandblack,wifi,60,152,0.6752854822747151,0.7399998683752388,0.9380952380952381,0.9821447935997425,408310690,22867878469,7254250.837563452,487017339.96666664
MoQ Unicast,redandblack,wifi,60,152,0.14348530061521228,0.3545833156643526,0.7428571428571429,0.0,3465189029,3465189029,77744625.65064102,202987905.13333333
MD2G-Cast,redandblack,wifi,60,153,0.7539398469330779,0.8749999416961692,0.91,0.9825977099822829,366602096,21066313435,6714324.102564102,488379396.03333336
Heuristic,redandblack,wifi,60,153,0.5806241563235774,0.5691666536482469,0.75,0.982587837045126,356873528,20495645999,7930522.844444444,486770885.8333333
Clustering,redandblack,wifi,60,153,0.6957775938062075,0.7741665251249614,0.9666666666666667,0.9820017761788714,358594627,19923889744,6182665.982758621,487516113.03333336
MoQ Unicast,redandblack,wifi,60,153,0.15989381631960187,0.38041664843845285,0.8556701030927835,0.0,4337771433,4337771433,84490728.71506025,201080056.55
MD2G-Cast,redandblack,wifi,100,151,0.7723822580225613,0.8962499783494426,0.918,0.9896729613579205,274501581,26580861224,2990213.300653595,312223966.07
Heuristic,redandblack,wifi,100,151,0.4950545679856075,0.4239999861603389,0.7688679245283019,0.9887819602832482,162513768,14486824089,2113676.000981595,312929492.04
Clustering,redandblack,wifi,100,151,0.6605449838384854,0.711999985535441,0.8257142857142857,0.9897287652793546,257476798,25067755241,3118231.117647059,310675465.15
MoQ Unicast,redandblack,wifi,100,151,0.12146315440669059,0.29399999754847,0.98,0.0,4608869342,4608869342,47029279.0,94745668.37
MD2G-Cast,redandblack,wifi,100,152,0.7802195490255264,0.9112499541437216,0.914,0.9895913282874071,214138332,20573070024,2342870.1531728664,309722319.23
Heuristic,redandblack,wifi,100,152,0.4897719477630452,0.4149999871865354,0.7348837209302326,0.9890881519003287,134781263,12351827277,1834048.8319620253,313349144.85
Clustering,redandblack,wifi,100,152,0.6481510984140857,0.6912499832314375,0.8666666666666667,0.9895197809994339,161408573,15401259553,1862406.6115384614,310641188.5
MoQ Unicast,redandblack,wifi,100,152,0.11445027611167174,0.29399999754847,0.98,0.0,3759999516,3759999516,38367342.0,96277955.83
MD2G-Cast,redandblack,wifi,100,153,0.7619141724566124,0.8809999690941845,0.906,0.9895845315235491,250857510,24085091378,2768846.6887417217,310135691.78
Heuristic,redandblack,wifi,100,153,0.5062895246359915,0.44249998716281785,0.5733333333333334,0.989355669629253,373199814,35060901062,6509299.0813953485,313632611.37
Clustering,redandblack,wifi,100,153,0.638494504153555,0.6757499894251161,0.8,0.9894553340854759,221977227,21051138917,2774715.3375,310604678.07
MoQ Unicast,redandblack,wifi,100,153,0.11706934029756377,0.2909999975734856,0.97,0.0,4644366305,4644366305,47880065.0,97168630.65
MD2G-Cast,redandblack,fiber_optic,20,151,0.5091834507811176,0.46499998185533536,0.95,0.9473684210526316,800595920,15211322480,42136627.368421055,805225756.95
Heuristic,redandblack,fiber_optic,20,151,0.6625428490828175,0.7274999924210743,0.9833333333333333,0.9490024653590617,824698935,16171349082,41933844.152542375,797492687.75
Clustering,redandblack,fiber_optic,20,151,0.6949950783516317,0.7874998768174105,0.9571428571428572,0.9465775741401596,1117242408,20913359699,58363409.37313433,1078055259.8
MoQ Unicast,redandblack,fiber_optic,20,151,0.36503763499131736,0.7299999051678928,0.8481012658227848,0.0,7310510698,7310510698,430992794.8820896,588338457.15
MD2G-Cast,redandblack,fiber_optic,20,152,0.5120831471862486,0.4699999826062674,0.925,0.9470181139951888,799621377,15092353959,43222777.13513514,805659516.2
Heuristic,redandblack,fiber_optic,20,152,0.6044353363746644,0.6324999927390611,0.9166666666666666,0.9448195752056383,815227272,14773849151,44466942.10909091,796017134.9
Clustering,redandblack,fiber_optic,20,152,0.6854407768899073,0.7712498920343773,0.9428571428571428,0.9468275531962603,1062746140,19986782702,56357749.848484844,1074318350.45
MoQ Unicast,redandblack,fiber_optic,20,152,0.3577610511259939,0.7124999022389494,0.7721518987341772,0.0,6894400329,6894400329,446440677.04180324,560500906.7
MD2G-Cast,redandblack,fiber_optic,20,153,0.530803831798093,0.49999997997823714,1.0,0.95,803449788,16068995760,40172489.4,806092675.65
Heuristic,redandblack,fiber_optic,20,153,0.6762714041341953,0.7499999921538446,1.0,0.95,818246275,16364925500,40912313.75,796184377.15
Clustering,redandblack,fiber_optic,20,153,0.6444790998333585,0.7049999070348715,0.9,0.9421650485527535,1109603786,19185695816,61644654.777777776,1081280977.95
MoQ Unicast,redandblack,fiber_optic,20,153,0.3750256327329388,0.7462498901673987,0.8607594936708861,0.0,7070878401,7070878401,410734848.29338235,589902712.85
MD2G-Cast,redandblack,fiber_optic,60,151,0.7928800814255318,0.939583318305902,0.96,0.983122327192312,399057693,23644118330,6928084.947916667,488353485.18333334
Heuristic,redandblack,fiber_optic,60,151,0.5776188736827716,0.5641666529503899,0.7611111111111111,0.982145656282479,511686227,28658921050,11204807.89051095,488751472.01666665
Clustering,redandblack,fiber_optic,60,151,0.6773501719562475,0.7433331916530042,0.9428571428571428,0.9821087460314217,366934023,20509128295,6486207.4772727275,487400256.98333335
MoQ Unicast,redandblack,fiber_optic,60,151,0.14236940092178912,0.3537499818360891,0.7755102040816326,0.0,3335544462,3335544462,71684946.77105263,202142726.28333333
MD2G-Cast,redandblack,fiber_optic,60,152,0.7919861064407344,0.9366666463053747,0.9533333333333334,0.983058532531234,335338418,19793941618,5862559.755244755,488321963.6666667
Heuristic,redandblack,fiber_optic,60,152,0.5729470411631868,0.5566666530394665,0.7555555555555555,0.9815706873659726,227509433,12344976588,5018590.43382353,489931409.98333335
Clustering,redandblack,fiber_optic,60,152,0.6669751380932698,0.7262498640176925,0.9380952380952381,0.9814568563872084,343066171,18500971473,6095084.256345178,488524455.06666666
MoQ Unicast,redandblack,fiber_optic,60,152,0.14439362324704091,0.35583332991623273,0.8351648351648352,0.0,3068588535,3068588535,61237183.483552635,199668318.65
MD2G-Cast,redandblack,fiber_optic,60,153,0.7836174410539128,0.9241666458409094,0.94,0.9829731844025451,325819870,19135690296,5776948.04964539,487680996.3666667
Heuristic,redandblack,fiber_optic,60,153,0.5614198241443927,0.5374999863480262,0.7277777777777777,0.9816649154241603,210023809,11454749943,4809705.549618321,488969422.35
Clustering,redandblack,fiber_optic,60,153,0.6652568301251086,0.7229165204732483,0.9333333333333333,0.9818964345580946,343123842,18953384796,6127211.464285715,487185442.81666666
MoQ Unicast,redandblack,fiber_optic,60,153,0.13432841346582192,0.3387499820142422,0.7872340425531915,0.0,3156627429,3156627429,66829499.622972965,202067247.16666666
MD2G-Cast,redandblack,fiber_optic,100,151,0.7765091733188615,0.9042499658349834,0.914,0.9896255049556469,278991388,26892045040,3052422.1881838073,309962362.66
Heuristic,redandblack,fiber_optic,100,151,0.4915308098655356,0.4179999871615198,0.53,0.9889191428856156,140208796,12653244650,2645448.9811320757,313056263.62
Clustering,redandblack,fiber_optic,100,151,0.6416178095625782,0.6804999922114311,0.8028571428571428,0.9896739031982603,264520712,25616718212,3294741.9644128117,310453768.56
MoQ Unicast,redandblack,fiber_optic,100,151,0.10595170592026974,0.2909999975734856,0.97,0.0,4404860695,4404860695,45410935.0,112064541.66
MD2G-Cast,redandblack,fiber_optic,100,152,0.7943231879153336,0.9312499608460253,0.934,0.9896747701294489,281465544,27259978473,3013549.7216274086,310489038.88
Heuristic,redandblack,fiber_optic,100,152,0.5104914098501233,0.4499999870843563,0.58,0.9880752187358407,149424337,12530572569,2576281.6724137934,314000478.42
Clustering,redandblack,fiber_optic,100,152,0.6243564221899476,0.6512499898675478,0.7885714285714286,0.9893687179647724,257720399,24241704636,3268193.46557971,310620741.88
MoQ Unicast,redandblack,fiber_optic,100,152,0.10810719213480946,0.29399999754847,0.9607843137254902,0.0,4053309596,4053309596,42187508.04,106412685.93
MD2G-Cast,redandblack,fiber_optic,100,153,0.7322089979426675,0.8259999627538269,0.87,0.9894220208400649,224544715,21227562619,2580973.735632184,310244049.3
Heuristic,redandblack,fiber_optic,100,153,0.4969623726300828,0.4269999861353233,0.7735849056603774,0.9893817474563109,342148138,32222640834,4422890.564390243,313389782.97
Clustering,redandblack,fiber_optic,100,153,0.6456256726012695,0.6867499832848835,0.8114285714285714,0.9897388730868872,413608062,40308249328,5097282.454225352,311004373.2
MoQ Unicast,redandblack,fiber_optic,100,153,0.10577514415404192,0.29399999754847,0.9607843137254902,0.0,4632602296,4632602296,48216881.04,112400608.57
